Continente,Pais,Hom2009,Muj2009,Hom2010,Muj2010,Hom2011,Muj2011,Hom2012,Muj2012,Hom2013,Muj2013,Hom2014,Muj2014,Hom2015,Muj2015
ASIA,SRI LANKA,1,2,9,6,11,8,16,8,21,11,22,15,24,15
ASIA,TADYIKISTÁN,.,.,.,.,.,.,2,.,1,.,.,.,.,.
ASIA,TAILANDIA,268,150,295,161,329,159,387,180,407,200,459,234,506,253
ASIA,TAIWAN,140,73,158,91,172,92,181,98,191,97,.,.,.,.
ASIA,TURKMENISTÁN,.,.,1,1,1,1,1,1,.,1,.,.,.,.
ASIA,TURQUÍA,393,375,525,508,585,549,679,637,729,669,782,708,841,765
ASIA,UZBEKISTÁN,5,2,6,2,8,2,13,8,11,7,10,7,10,7
ASIA,VIETNAM,69,37,72,50,102,61,139,61,149,74,168,79,185,94
ASIA,YEMEN,22,14,23,12,14,14,12,11,14,7,10,7,9,5
OCEANIA,AUSTRALIA,7391,7141,7788,7535,8308,8071,8596,8381,8959,8720,9274,9082,9610,9377
OCEANIA,FIJI,.,.,.,.,.,.,.,.,.,.,3,2,2,3
OCEANIA,MICRONESIA,.,.,.,.,.,.,.,.,.,1,.,1,.,1
OCEANIA,NUEVA ZELANDA,160,166,209,228,236,255,256,287,280,329,329,381,397,447
OCEANIA,PALAOS,.,.,.,.,.,.,.,1,.,1,.,1,.,1
OCEANIA,PAPÚA NUEVA GUINEA,2,.,2,.,2,.,2,.,2,.,6,1,5,1
OCEANIA,SAMOA,.,.,.,.,.,.,.,.,.,.,.,.,.,1
OCEANIA,TIMOR ORIENTAL,8,7,8,8,17,12,15,15,13,11,12,7,10,6
OCEANIA,VANUATU,5,.,4,1,4,3,4,3,3,1,1,1,1,1
